Candidate,First Name,Last Name,Party,Race / District,Region,Current Role,Race Context,Status Note,Prospect Score,Score Breakdown,Outreach Angle
Josh Hoover,Josh,Hoover,R,State Assembly AD-7,Sacramento,Incumbent Assemblymember,Defending competitive Sacramento-area seat,General matchup confirmed,8,Contested:4 + StateLevel:4 = 8,Won a Harris district as a Republican - needs every crossover voter. Bot answers policy questions without partisan framing.
Mike Murphy,Mike,Murphy,R,State Assembly (Merced open seat),Central Valley,"Attorney, former Merced mayor",Leading Republican for open Soria seat in Latino-majority district trending right,VERIFY advanced from June primary,8,Contested:4 + StateLevel:4 = 8,GOP flip target = money flowing in. Bilingual chatbot angle for Latino-majority district is a strong differentiator.
Brian Pacheco,Brian,Pacheco,D,State Assembly (Merced open seat),Central Valley,Fresno County Supervisor,Democrat-backed candidate defending open seat from GOP flip,VERIFY advanced from June primary,8,Contested:4 + StateLevel:4 = 8,Same bilingual chatbot pitch - Spanish-speaking voters get instant answers in their language.
Esmeralda Soria,Esmeralda,Soria,D,State Senate (Central Valley),Central Valley,Assemblymember running for Senate,Frontrunner in rightward-trending district GOP is targeting,VERIFY advanced from June primary,8,Contested:4 + StateLevel:4 = 8,"Moving up a chamber = bigger district, more voters to reach with same staff."
Darin DuPont,Darin,DuPont,R,State Senate (Central Valley),Central Valley,Merced city councilmember,Republican in GOP target district,VERIFY advanced from June primary,8,Contested:4 + StateLevel:4 = 8,Councilmember stepping up to senate = small operation punching above weight class.
Melissa Hurtado,Melissa,Hurtado,D,State Senate SD-16,Bakersfield / Kern,Incumbent State Senator,Won 2022 by 13 VOTES. District voted Trump 2024. Most endangered Dem incumbent,General matchup confirmed,8,Contested:4 + StateLevel:4 = 8,13-vote margin means literally every voter interaction matters. Easiest urgency pitch on this list.
Guillermo Gonzalez,Guillermo,Gonzalez,R,State Senate SD-16,Bakersfield / Kern,Field rep for Rep. David Valadao,Challenging most vulnerable Dem senator in Trump-voting district,General matchup confirmed,8,Contested:4 + StateLevel:4 = 8,Field rep background = understands voter contact math. Bot multiplies contact capacity.
Nelson Esparza,Nelson,Esparza,D,Board of Equalization D1,Inland CA / Fresno,Fresno City Councilmember,Facing state Sen. Shannon Grove for inland BOE seat,General matchup confirmed,8,Contested:4 + StateLevel:4 = 8,Underdog vs known state senator. Needs cheap force multipliers.
Shannon Grove,Shannon,Grove,R,Board of Equalization D1,Inland CA,State Senator,Running for BOE against Fresno councilmember,General matchup confirmed,8,Contested:4 + StateLevel:4 = 8,Explaining an obscure office across a huge inland district - chatbot scales that.
Eric Lucan,Eric,Lucan,D,State Assembly AD-12,Marin / Sonoma,Marin County Supervisor,"Open Connolly seat, was Dem establishment favorite",VERIFY advanced from June primary,8,Contested:4 + StateLevel:4 = 8,"Wealthy, tech-comfortable district - voters expect digital polish."
Jackie Elward,Jackie,Elward,D,State Assembly AD-12,Marin / Sonoma,Rohnert Park city councilmember,"Competing for open NorCal seat, ran for SD-03 in 2024",VERIFY advanced from June primary,8,Contested:4 + StateLevel:4 = 8,"Repeat candidate = knows the grind, values efficiency tools."
Eli Beckman,Eli,Beckman,D,State Assembly AD-12,Marin / Sonoma,Corte Madera city councilor,Young councilmember competing for open seat,VERIFY advanced from June primary,8,Contested:4 + StateLevel:4 = 8,Younger candidate = most receptive to AI-forward campaigning.
Michael Greer,Michael,Greer,R,State Assembly AD-2,North Coast,Del Norte County School Board trustee,Rematch challenger vs incumbent Chris Rogers in safe-Dem district,General matchup confirmed,8,Contested:4 + StateLevel:4 = 8,"Underdog rematch = shoestring budget, your price point fits."
Darin Hale,Darin,Hale,R,State Assembly AD-1,Far NorCal,Anderson city councilor,Challenging incumbent Hadwick. NOTE: made news for posting AI-generated video - already experiments with AI,General matchup confirmed,8,Contested:4 + StateLevel:4 = 8,Already uses AI (controversially). Pitch: here's the productive way to use AI in your campaign.
Dianna Margaret James,Dianna,James,D,State Assembly AD-1,Far NorCal,Community organizer,Democrat in deep-red district,General matchup confirmed,8,Contested:4 + StateLevel:4 = 8,"Organizer running lean - automation is survival, not luxury."
Manpreet Kaura,Manpreet,Kaura,D,State Senate SD-16,Bakersfield,Bakersfield Vice Mayor,Was running in crowded SD-16 field,VERIFY advanced - likely eliminated in primary,8,Contested:4 + StateLevel:4 = 8,If eliminated: future-cycle relationship. Vice mayor will run for something again.
Japjeet Singh Uppal,Japjeet,Uppal,D,State Assembly (Merced),Central Valley,Livingston city councilmember,Was in crowded open-seat field,VERIFY advanced - may be eliminated,8,Contested:4 + StateLevel:4 = 8,"If eliminated: young councilmember, future cycles. Sikh community outreach angle for bilingual bot."
Michael Gates,Michael,Gates,R,CA Attorney General,OC (Huntington Beach),AG challenger vs Rob Bonta,Statewide race but OC-based underdog challenger,General matchup confirmed,6,"Contested:4 + SoCal:2 = 6 (statewide, not local-tier)",OC neighbor angle. Statewide underdogs run lean - but budget may be consultant-controlled.
Donald Wagner,Donald,Wagner,R,CA Secretary of State,OC,"OC Supervisor, SoS challenger vs Shirley Weber","Statewide underdog, OC supervisor",General matchup confirmed,6,Contested:4 + SoCal:2 = 6 (statewide),You are literally in his county. Local student angle at full strength.
Jennifer Hawks,Jennifer,Hawks,R,CA Lieutenant Governor,Statewide,Retired businesswoman vs Kounalakis,Statewide underdog challenger,General matchup confirmed,4,"Contested:4 = 4 (statewide, not SoCal-confirmed)",Longest shot on list - but zero consultants means the decision-maker answers her own email.
